tile,xoge,yoge
0,5,45
0,5,50
0,5,55
0,5,60
0,5,65
0,5,70
0,5,75
0,5,80
0,5,85
0,10,50
0,10,55
0,10,60
0,10,65
0,10,70
0,10,75
0,10,80
0,10,85
0,15,55
0,15,60
0,15,65
0,15,70
0,15,75
0,15,80
0,15,85
0,20,55
0,20,60
0,20,65
0,20,70
0,20,75
0,20,80
0,20,85
0,25,60
0,25,65
0,25,70
0,25,75
0,25,80
0,25,85
0,30,65
0,30,70
0,30,75
0,30,80
0,30,85
0,35,65
0,35,70
0,35,75
0,35,80
0,35,85
0,40,65
0,40,70
0,40,75
0,40,80
0,40,85
0,45,65
0,45,70
0,45,75
0,45,80
0,45,85
0,50,65
0,50,70
0,50,75
0,50,80
0,50,85
0,55,65
0,55,70
0,55,75
0,55,80
0,55,85
0,60,65
0,60,70
0,60,75
0,60,80
0,60,85
0,65,65
0,65,70
0,65,75
0,65,80
0,65,85
0,70,65
0,70,70
0,70,75
0,70,80
0,70,85
0,75,75
0,75,80
0,75,85
0,80,75
0,80,80
0,80,85
0,85,75
0,85,80
0,85,85
1,5,5
1,5,10
1,5,15
1,5,20
1,5,25
1,5,30
1,5,35
1,5,40
1,5,45
1,5,50
1,5,55
1,5,60
1,5,65
1,5,70
1,5,75
1,5,80
1,5,85
1,10,5
1,10,10
1,10,15
1,10,20
1,10,25
1,10,30
1,10,35
1,10,40
1,10,45
1,10,50
1,10,55
1,10,60
1,10,65
1,10,70
1,10,75
1,10,80
1,10,85
1,15,5
1,15,10
1,15,15
1,15,20
1,15,25
1,15,30
1,15,35
1,15,40
1,15,45
1,15,50
1,15,55
1,15,60
1,15,65
1,15,70
1,15,75
1,15,80
1,15,85
1,20,5
1,20,10
1,20,15
1,20,20
1,20,25
1,20,30
1,20,35
1,20,40
1,20,45
1,20,50
1,20,55
1,20,60
1,20,65
1,20,70
1,20,75
1,25,5
1,25,10
1,25,15
1,25,20
1,25,25
1,25,30
1,25,35
1,25,40
1,25,45
1,25,50
1,25,55
1,25,60
1,25,65
1,25,70
1,25,75
1,30,5
1,30,10
1,30,15
1,30,20
1,30,25
1,30,30
1,30,35
1,30,40
1,30,45
1,30,50
1,30,55
1,30,60
1,30,65
1,30,70
1,30,75
1,35,5
1,35,10
1,35,15
1,35,20
1,35,25
1,35,30
1,35,35
1,35,40
1,35,45
1,35,50
1,35,55
1,35,60
1,35,65
1,35,70
1,35,75
1,40,5
1,40,10
1,40,15
1,40,20
1,40,25
1,40,30
1,40,35
1,40,40
1,40,45
1,40,50
1,40,55
1,40,60
1,40,65
1,40,70
1,40,75
2,5,5
2,5,10
2,5,15
2,5,20
2,5,25
2,5,30
2,5,35
2,5,40
2,5,45
2,5,50
2,5,55
2,5,60
2,5,65
2,5,70
2,5,75
2,5,80
2,5,85
2,10,5
2,10,10
2,10,15
2,10,20
2,10,25
2,10,30
2,10,35
2,10,40
2,10,45
2,10,50
2,10,55
2,10,60
2,10,65
2,10,70
2,10,75
2,10,80
2,10,85
2,15,5
2,15,10
2,15,15
2,15,20
2,15,25
2,15,30
2,15,35
2,15,40
2,15,45
2,15,50
2,15,55
2,15,60
2,15,65
2,15,70
2,15,75
2,15,80
2,15,85
2,20,5
2,20,10
2,20,15
2,20,20
2,20,25
2,20,30
2,20,35
2,20,40
2,20,45
2,20,50
2,20,55
2,20,60
2,20,65
2,25,65
2,25,70
2,25,75
2,25,80
2,25,85
2,30,65
2,30,70
2,30,75
2,30,80
2,30,85
2,35,70
2,35,75
2,35,80
2,35,85
2,40,75
2,40,80
2,40,85
3,5,75
3,5,80
3,5,85
3,10,75
3,10,80
3,10,85
3,15,75
3,15,80
3,15,85
3,20,75
3,20,80
3,20,85
3,25,75
3,25,80
3,25,85
3,30,75
3,30,80
3,30,85
3,35,75
3,35,80
3,35,85
3,40,75
3,40,80
3,40,85
3,45,75
3,45,80
3,45,85
3,50,75
3,50,80
3,50,85
3,55,75
3,55,80
3,55,85
3,60,75
3,60,80
3,60,85
3,65,75
3,65,80
3,65,85
3,70,75
3,70,80
3,70,85
3,75,75
3,75,80
3,75,85
3,80,75
3,80,80
3,80,85
3,85,75
3,85,80
3,85,85
4,5,5
4,5,10
4,5,15
4,5,20
4,5,25
4,5,30
4,5,35
